name,club,Position,Appearances,Goals,Shots,Assists,Passes,Crosses,Fouls,Offsides,Tackles,Interceptions,Clearances,Headed Clearance,Recoveries,Successful 50/50s,Headed goals,Shots on target,Big chances missed,Big chances created,Yellow cards,Red cards,Blocked shots,Tackle success %,Last man tackles,Errors leading to goal,Duels won,Duels lost,Aerial battles won,Aerial battles lost,Cross accuracy %,Accurate long balls,age,height_cm,overall,potential,wage_eur,pace,shooting,passing,dribbling,defending,physic,player_url,gpg,crosspg,ppg,apg,bspg,fpg,opg,tpg,ipg,clearpg,rpg,ffpg,bcpg,lbpg,aerial_win,duel_win,shot_accuracy,chances_missed
"frozenset({'Beni', 'Baningime'})",Everton,Midfielder,8,0,0.0,0,82,0.0,4,0.0,6.0,2.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0,,0.0,9.0,14.0,1.0,2.0,0.0,3.0,20.0,178.0,67.0,77.0,14000.0,55.0,46.0,64.0,65.0,65.0,61.0,https://sofifa.com/player/238062/beni-baningime/20/159586,0.0,0.0,10.25,0.0,0.0,0.5,0.0,0.75,0.25,0.125,1.125,0.125,0.0,0.375,0.3333333333333333,0.391304347826087,0.0,0.0
"frozenset({'Bardsley', 'Phil'})",Burnley,Defender,259,7,,4,8014,589.0,268,5.0,644.0,361.0,943.0,313.0,1002.0,95.0,0.0,,,10.0,62.0,2.0,49.0,79.0,7.0,3.0,1206.0,842.0,229.0,230.0,20.0,498.0,34.0,180.0,72.0,72.0,22000.0,51.0,58.0,66.0,68.0,75.0,72.0,https://sofifa.com/player/163261/phil-bardsley/20/159586,0.02702702702702703,2.2741312741312742,30.942084942084943,0.015444015444015444,0.1891891891891892,1.0347490347490347,0.019305019305019305,2.4864864864864864,1.393822393822394,3.640926640926641,3.8687258687258685,0.3667953667953668,0.03861003861003861,1.9227799227799227,0.4989106753812636,0.5888671875,0.0,0.0
"frozenset({'Barkley', 'Ross'})",Chelsea,Midfielder,153,21,330.0,18,6131,303.0,132,18.0,142.0,61.0,90.0,74.0,596.0,334.0,2.0,97.0,19.0,26.0,17.0,0.0,116.0,75.0,,1.0,826.0,897.0,138.0,146.0,23.0,386.0,25.0,185.0,79.0,82.0,98000.0,70.0,73.0,77.0,80.0,56.0,73.0,https://sofifa.com/player/199189/ross-barkley/20/159586,0.13725490196078433,1.9803921568627452,40.071895424836605,0.11764705882352941,0.7581699346405228,0.8627450980392157,0.11764705882352941,0.9281045751633987,0.39869281045751637,0.5882352941176471,3.895424836601307,2.183006535947712,0.16993464052287582,2.522875816993464,0.4859154929577465,0.4793964016250725,0.29393939393939394,0.05757575757575758
"frozenset({'Barnes', 'Ashley'})",Burnley,Forward,100,20,172.0,4,1708,51.0,180,57.0,65.0,25.0,79.0,52.0,,,3.0,63.0,8.0,5.0,20.0,2.0,31.0,,,,,,,,,,29.0,186.0,78.0,78.0,44000.0,62.0,78.0,68.0,74.0,47.0,81.0,https://sofifa.com/player/186905/ashley-barnes/20/159586,0.2,0.51,17.08,0.04,0.31,1.8,0.57,0.65,0.25,0.79,0.0,0.0,0.05,0.0,0.0,0.0,0.36627906976744184,0.046511627906976744
"frozenset({'Bednarek', 'Jan'})",Southampton,Defender,5,1,,0,181,0.0,3,0.0,6.0,5.0,27.0,19.0,28.0,,0.0,,,0.0,1.0,0.0,0.0,50.0,0.0,0.0,14.0,24.0,7.0,17.0,0.0,8.0,23.0,189.0,77.0,83.0,41000.0,62.0,22.0,52.0,55.0,78.0,74.0,https://sofifa.com/player/220570/jan-bednarek/20/159586,0.2,0.0,36.2,0.0,0.0,0.6,0.0,1.2,1.0,5.4,5.6,0.0,0.0,1.6,0.2916666666666667,0.3684210526315789,0.0,0.0
"frozenset({'Bellerín', 'Héctor'})",Arsenal,Defender,125,6,,13,5701,314.0,92,6.0,180.0,172.0,249.0,116.0,598.0,163.0,0.0,,,23.0,17.0,0.0,22.0,79.0,1.0,1.0,501.0,557.0,126.0,173.0,16.0,106.0,24.0,178.0,80.0,85.0,69000.0,92.0,51.0,70.0,78.0,76.0,66.0,https://sofifa.com/player/203747/hector-bellerin-moruno/20/159586,0.048,2.512,45.608,0.104,0.176,0.736,0.048,1.44,1.376,1.992,4.784,1.304,0.184,0.848,0.4214046822742475,0.4735349716446125,0.0,0.0
"frozenset({'Benalouane', 'Yohan'})",Leicester City,Defender,16,0,,0,229,4.0,19,1.0,24.0,33.0,64.0,35.0,55.0,3.0,0.0,,,0.0,5.0,0.0,1.0,63.0,0.0,0.0,53.0,55.0,23.0,26.0,4.0,18.0,,,,,,,,,,,,,0.0,0.25,14.3125,0.0,0.0625,1.1875,0.0625,1.5,2.0625,4.0,3.4375,0.1875,0.0,1.125,0.46938775510204084,0.49074074074074076,0.0,0.0
"frozenset({'Benteke', 'Christian'})",Crystal Palace,Forward,186,69,480.0,18,5114,30.0,316,181.0,66.0,22.0,172.0,117.0,,,25.0,183.0,73.0,25.0,30.0,2.0,106.0,,,,,,,,,,28.0,190.0,75.0,75.0,52000.0,58.0,74.0,61.0,65.0,32.0,72.0,https://sofifa.com/player/184111/christian-benteke/20/159586,0.3709677419354839,0.16129032258064516,27.49462365591398,0.0967741935483871,0.5698924731182796,1.6989247311827957,0.9731182795698925,0.3548387096774194,0.11827956989247312,0.9247311827956989,0.0,0.0,0.13440860215053763,0.0,0.0,0.0,0.38125,0.15208333333333332
"frozenset({'Berg', 'Gudmundsson', 'Johann'})",Burnley,Midfielder,56,3,74.0,10,1128,295.0,22,3.0,64.0,52.0,55.0,19.0,242.0,43.0,1.0,26.0,0.0,8.0,3.0,0.0,21.0,69.0,,0.0,205.0,227.0,56.0,70.0,30.0,56.0,,,77.0,,,,,,,,,,0.05357142857142857,5.267857142857143,20.142857142857142,0.17857142857142858,0.375,0.39285714285714285,0.05357142857142857,1.1428571428571428,0.9285714285714286,0.9821428571428571,4.321428571428571,0.7678571428571429,0.14285714285714285,1.0,0.4444444444444444,0.47453703703703703,0.35135135135135137,0.0
frozenset({'Bernardo'}),Brighton and Hove Albion,Defender,1,0,,0,41,1.0,2,0.0,4.0,3.0,3.0,3.0,5.0,,0.0,,,0.0,1.0,0.0,0.0,75.0,0.0,0.0,7.0,4.0,3.0,0.0,1.0,3.0,,,,,,,,,,,,,0.0,1.0,41.0,0.0,0.0,2.0,0.0,4.0,3.0,3.0,5.0,0.0,0.0,3.0,1.0,0.6363636363636364,0.0,0.0
